id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28940196,Leafy Lane Cove family apartment,107692868,Jessica,,Lane Cove,-33.81929893605687,151.16997128370753,Entire home/apt,150,2,1,2018-10-20,0.61,1,9
28940248,Sydney split level apartment close to everything,25114790,Jeff,,Sydney,-33.90384267708386,151.19394121662418,Entire home/apt,320,3,0,,,1,20
28940286,North Bondi Beach Vibe Beauty,17747398,Elise,,Waverley,-33.88842474366675,151.27995049061911,Entire home/apt,174,3,3,2018-11-04,2.00,1,1
28940478,Bright Family Home in the Heart of Balmain H431,101139031,Gabriel HH,,Leichhardt,-33.85991521292747,151.17705310688186,Entire home/apt,280,3,0,,,58,18
28940481,Heart of Coogee - Semi / 2 Bed Federation House,215158027,Peter & Stephanie,,Randwick,-33.920412986560684,151.25441127693142,Entire home/apt,195,1,12,2018-12-05,6.55,1,57
28940818,(Only female) Beutiful Convenient Home(Shared),200054714,Yoohee,,Waverley,-33.89771398919179,151.25045728692288,Private room,60,1,2,2018-11-18,0.95,5,87
28941053,Harbour View Home In the Perfect Location,217012232,Milpen,,Sydney,-33.85984208211048,151.20408146896114,Entire home/apt,350,2,3,2018-11-04,1.64,3,73
28941888,AWESOME BONDI BEACH APARTMENT,727275,Mim,,Waverley,-33.89212412591959,151.26425252889345,Entire home/apt,208,21,0,,,1,270
28942093,Bondi Beach Pad - 2 Bed - seconds from Bondi Beach,42008444,Emma,,Waverley,-33.891893572427286,151.27414657600784,Entire home/apt,187,2,7,2018-11-29,5.12,1,102
28942542,BRONTE Brown St-hosted by: L'Abode Accommodation,7409213,L'Abode Accommodation Specialist,,Waverley,-33.90182419882899,151.25803802798217,Entire home/apt,464,4,1,,,176,24
28942752,Narrabeen Beach House - 1 Bedroom,93819356,Belinda,,Warringah,-33.709761200473366,151.3025591981632,Entire home/apt,251,2,1,2018-11-18,1,2,313
28942773,Cosy beach apartment,17822118,Marine,,Manly,-33.7902585562488,151.28578156973697,Entire home/apt,109,7,1,2018-11-04,0.88,1,3
28943292,King st Newtown,115273519,Prakash,,Sydney,-33.897970212669776,151.17888414520783,Entire home/apt,71,28,0,,,1,29
28943340,Beautiful Pad - 1 minute walk from Bondi Beach,9816157,Tolga,,Waverley,-33.88846510090242,151.27697238809935,Entire home/apt,280,4,0,,,1,46
28943581,Sydney Olympic Park Apartment with a view,159272414,Sahan,,Auburn,-33.84904138022473,151.0739856616648,Private room,60,14,0,,,1,0
